-1 10 522 6328 36 574 1 253 43 636 113 1266 202 2068 10 334 149 1588 209 2126 28 495 65 831
-2 10 656 7528 74 913 147 1567 30 520 151 1603 61 795 16 386 142 1528 214 2176 115 1278 68 855
-3 10 808 8879 238 2389 155 1637 245 2448 142 1522 8 316 23 449 7 313 194 1996 137 1480 129 1406
-4 10 704 8019 118 1307 183 1893 50 700 122 1342 153 1622 23 451 101 1152 136 1471 23 449 200 2050
-5 10 667 7916 127 1388 75 917 173 1802 8 322 165 1727 234 2355 130 1419 84 1000 33 542 8 317
-6 10 839 8925 168 1759 43 631 143 1535 137 1483 88 1038 48 675 151 1603 245 2449 160 1690 198 2028
-7 10 798 9187 235 2357 15 382 209 2123 208 2115 18 406 89 1045 74 910 164 1722 186 1916 41 615
-8 10 853 9644 133 1442 59 777 50 693 169 1767 86 1018 75 920 214 2172 138 1485 236 2372 158 1664
-9 10 911 9469 239 2399 54 730 147 1572 216 2190 134 1454 209 2123 50 696 54 735 238 2389 107 1211
-10 10 615 7355 17 401 87 1026 18 411 68 857 163 1711 159 1676 177 1843 176 1826 62 808 22 444
-11 10 955 9840 120 1324 152 1615 186 1921 114 1271 196 2009 188 1939 173 1805 77 940 177 1842 204 2078
-12 10 872 9409 112 1257 186 1922 38 592 35 560 136 1470 174 1808 195 2005 117 1298 217 2201 181 1875
-13 10 623 7511 83 997 50 695 155 1645 88 1038 227 2285 79 960 44 643 192 1978 27 492 83 991
-14 10 826 8849 118 1310 143 1535 77 935 171 1784 205 2091 185 1915 26 478 238 2386 167 1748 12 356
-15 10 803 9025 246 2458 95 1103 199 2039 55 743 25 475 161 1695 98 1131 66 836 234 2348 126 1381
-16 10 1013 10586 232 2337 232 2334 129 1411 110 1233 168 1762 160 1685 236 2373 242 2423 52 717 51 703
-17 10 867 9130 201 2051 193 1981 194 1992 183 1893 17 403 210 2138 57 762 155 1639 121 1339 26 479
-18 10 922 10006 194 1988 35 559 222 2243 194 1988 227 2287 24 466 217 2199 160 1687 103 1170 139 1494
-19 10 754 8736 65 835 103 1177 41 611 157 1663 41 614 189 1947 67 853 96 1108 222 2245 198 2029
-20 10 782 8739 152 1611 17 395 25 473 119 1321 47 673 226 2284 140 1504 196 2013 159 1676 173 1807
-21 10 869 9365 218 2210 100 1148 193 1980 33 546 184 1900 193 1982 147 1568 16 391 96 1112 237 2383
-22 10 730 8569 32 530 160 1684 114 1271 66 844 199 2041 71 887 109 1227 169 1770 11 348 223 2252
-23 10 794 9199 132 1438 230 2317 58 772 159 1678 162 1703 220 2223 81 979 14 376 165 1734 43 633
-24 10 909 9985 145 1547 203 2069 165 1729 61 795 86 1021 29 507 150 1596 126 1378 216 2191 245 2455
-25 10 851 9709 161 1693 214 2169 147 1568 78 944 175 1820 207 2107 118 1310 94 1093 108 1217 86 1017
-26 10 878 9657 213 2161 42 626 145 1552 234 2349 49 687 248 2477 177 1835 67 846 130 1414 100 1144
-27 10 1001 10071 243 2433 245 2454 115 1278 248 2482 47 666 228 2300 219 2218 139 1494 106 1201 47 665
-28 10 687 7620 57 758 75 923 116 1292 56 751 109 1226 236 2373 55 740 195 1997 102 1167 62 800
-29 10 745 8214 19 417 228 2294 80 966 166 1742 230 2313 215 2182 42 623 20 430 76 926 97 1120
-30 10 781 8927 25 468 46 662 178 1847 128 1399 71 881 207 2106 95 1101 158 1670 135 1463 211 2142
-31 10 621 7319 232 2331 89 1046 3 273 17 401 202 2065 26 483 140 1508 83 996 91 1061 134 1450
-32 10 723 8215 112 1258 158 1669 40 604 74 912 133 1439 51 706 246 2457 72 897 113 1263 198 2025
-33 10 740 8479 31 528 197 2015 42 625 123 1352 201 2051 206 2101 18 408 120 1329 13 366 203 2072
-34 10 959 10325 101 1153 117 1302 114 1270 215 2179 212 2150 30 516 248 2478 178 1849 101 1155 204 2079
-35 10 796 9225 111 1249 64 826 60 783 92 1072 75 917 102 1163 61 797 232 2336 223 2251 237 2380
-36 10 524 6447 125 1370 78 952 44 639 16 390 57 756 96 1113 38 588 30 518 128 1394 202 2063
-37 10 796 8865 82 982 125 1369 106 1201 198 2024 110 1240 176 1826 201 2052 97 1115 180 1866 22 448
-38 10 652 7657 30 518 111 1246 248 2477 75 925 144 1538 28 496 66 841 151 1609 101 1152 59 777
-39 10 803 8607 95 1099 235 2365 97 1119 241 2413 156 1649 116 1288 125 1375 11 345 165 1732 2 267
-40 10 720 8138 61 795 68 854 83 991 87 1032 170 1773 228 2298 74 914 65 830 249 2485 85 1015
-41 10 648 7715 25 470 1 259 237 2376 142 1526 161 1694 80 969 234 2348 43 632 36 570 71 887
-42 10 671 7606 230 2316 213 2166 14 372 73 899 205 2087 24 458 15 381 9 326 64 819 244 2445
-43 10 787 8964 98 1131 150 1597 4 283 69 871 48 680 187 1928 201 2051 224 2264 250 2500 81 979
-44 10 795 9234 197 2022 108 1216 225 2269 95 1102 65 835 53 720 158 1672 25 470 241 2417 89 1051
-45 10 686 7904 2 265 83 997 108 1214 194 1991 79 960 81 978 246 2458 214 2173 1 251 52 715
-46 10 758 8337 135 1457 123 1350 18 410 38 586 134 1448 177 1838 196 2007 210 2137 140 1503 87 1033
-47 10 936 10295 241 2417 151 1604 30 519 194 1989 140 1503 38 589 158 1672 224 2265 219 2218 118 1312
-48 10 708 7746 70 875 209 2131 118 1311 126 1377 56 748 81 971 192 1971 183 1892 49 685 36 566
-49 10 1005 10883 217 2199 244 2438 148 1582 221 2234 44 642 148 1580 112 1257 38 589 221 2238 164 1719
-50 10 882 9944 119 1314 76 929 239 2399 94 1096 250 2498 149 1588 159 1677 121 1332 165 1731 21 435
-51 10 703 8276 192 1974 148 1578 41 619 240 2402 47 672 57 762 63 809 131 1429 43 637 124 1362
-52 10 524 6310 119 1315 39 594 105 1195 42 621 110 1240 30 518 127 1386 149 1587 73 904 53 722
-53 10 985 10123 228 2301 108 1215 106 1196 192 1977 30 519 204 2083 91 1063 195 2004 231 2321 175 1818
-54 10 833 8869 224 2266 200 2048 43 629 225 2270 13 363 213 2163 198 2024 104 1183 102 1166 25 475
-55 10 955 10597 174 1812 110 1237 225 2270 181 1877 99 1134 38 588 184 1906 207 2109 134 1456 220 2223
-56 10 988 10768 240 2406 29 510 226 2283 200 2044 1 256 188 1939 200 2044 104 1186 217 2196 233 2347
-57 10 897 9397 229 2308 80 965 60 784 178 1849 14 374 104 1178 235 2364 234 2352 210 2140 149 1588
-58 10 685 7952 50 700 84 1001 205 2093 79 961 172 1798 217 2200 3 274 215 2185 1 258 94 1096
-59 10 694 8226 75 918 75 917 41 611 195 2001 50 699 226 2281 197 2021 42 628 50 694 165 1727
