-1 15 802 9763 36 574 1 253 43 636 113 1266 202 2068 10 334 149 1588 209 2126 28 495 65 831 54 736 74 913 147 1567 30 520 151 1603
-2 15 1207 13025 16 386 142 1528 214 2176 115 1278 68 855 226 2278 238 2389 155 1637 245 2448 142 1522 8 316 23 449 7 313 194 1996 137 1480
-3 15 1097 12203 165 1734 118 1307 183 1893 50 700 122 1342 153 1622 23 451 101 1152 136 1471 23 449 200 2050 176 1830 127 1388 75 917 173 1802
-4 15 1194 13398 165 1727 234 2355 130 1419 84 1000 33 542 8 317 213 2167 168 1759 43 631 143 1535 137 1483 88 1038 48 675 151 1603 245 2449
-5 15 1152 13370 198 2028 42 624 235 2357 15 382 209 2123 208 2115 18 406 89 1045 74 910 164 1722 186 1916 41 615 220 2223 133 1442 59 777
-6 15 1443 15087 169 1767 86 1018 75 920 214 2172 138 1485 236 2372 158 1664 239 2396 239 2399 54 730 147 1572 216 2190 134 1454 209 2123 50 696
-7 15 1136 13042 238 2389 107 1211 148 1581 17 401 87 1026 18 411 68 857 163 1711 159 1676 177 1843 176 1826 62 808 22 444 241 2415 120 1324
-8 15 1283 14638 186 1921 114 1271 196 2009 188 1939 173 1805 77 940 177 1842 204 2078 12 354 112 1257 186 1922 38 592 35 560 136 1470 174 1808
-9 15 1067 11936 117 1298 217 2201 181 1875 135 1462 83 997 50 695 155 1645 88 1038 227 2285 79 960 44 643 192 1978 27 492 83 991 35 558
-10 15 1217 13402 143 1535 77 935 171 1784 205 2091 185 1915 26 478 238 2386 167 1748 12 356 81 974 246 2458 95 1103 199 2039 55 743 25 475
-11 15 1392 14881 98 1131 66 836 234 2348 126 1381 79 954 232 2337 232 2334 129 1411 110 1233 168 1762 160 1685 236 2373 242 2423 52 717 51 703
-12 15 1417 15196 201 2051 193 1981 194 1992 183 1893 17 403 210 2138 57 762 155 1639 121 1339 26 479 194 1996 194 1988 35 559 222 2243 194 1988
-13 15 1068 12426 24 466 217 2199 160 1687 103 1170 139 1494 46 664 65 835 103 1177 41 611 157 1663 41 614 189 1947 67 853 96 1108 222 2245
-14 15 1262 13542 199 2041 152 1611 17 395 25 473 119 1321 47 673 226 2284 140 1504 196 2013 159 1676 173 1807 119 1319 218 2210 100 1148 193 1980
-15 15 1120 12864 184 1900 193 1982 147 1568 16 391 96 1112 237 2383 67 847 32 530 160 1684 114 1271 66 844 199 2041 71 887 109 1227 169 1770
-16 15 1354 14582 223 2252 162 1701 132 1438 230 2317 58 772 159 1678 162 1703 220 2223 81 979 14 376 165 1734 43 633 144 1544 145 1547 203 2069
-17 15 1361 14416 61 795 86 1021 29 507 150 1596 126 1378 216 2191 245 2455 188 1939 161 1693 214 2169 147 1568 78 944 175 1820 207 2107 118 1310
-18 15 1323 14842 108 1217 86 1017 71 881 213 2161 42 626 145 1552 234 2349 49 687 248 2477 177 1835 67 846 130 1414 100 1144 126 1382 243 2433
-19 15 1133 13263 115 1278 248 2482 47 666 228 2300 219 2218 139 1494 106 1201 47 665 58 772 57 758 75 923 116 1292 56 751 109 1226 236 2373
