6 15 223 95 1988 55 250 161 979 66 2331 126 782 232 2316 129 1092 168 1595 236 2414 52 504 223 4666 193 1935 183 170 210 569 155 1210
15 15 27 228 738 27 1898 85 792 25 9 237 1418 161 799 234 425 36 708 145 2295 213 135 73 2041 24 145 9 633 244 783 98 1496
17 15 297 123 177 38 1331 177 1952 210 1392 87 166 241 1505 30 1933 140 377 297 7010 219 1180 97 694 209 1179 126 553 81 1912 183 483
48 15 248 41 2294 229 364 90 1167 53 518 70 1841 244 53 248 5713 145 2368 95 921 114 466 112 196 50 1152 159 2357 206 547 176 748
58 15 176 236 785 211 541 175 1926 176 80 225 985 190 1540 214 206 135 1223 176 2128 33 502 100 449 210 1024 97 1173 245 154 192 377
59 15 8 180 1344 64 2308 113 1927 83 2303 235 534 6 2000 64 353 250 1761 193 2187 207 396 92 496 8 2666 41 1075 83 1161 151 1518
107 15 134 86 1225 134 3598 58 692 166 1711 119 1586 171 1776 187 430 82 1061 164 628 122 957 89 2390 62 694 240 713 118 796 197 1599
123 15 134 235 996 81 1537 238 2404 212 586 158 1553 48 1667 193 2024 186 2431 37 985 134 3567 95 1797 50 1275 228 642 69 972 166 161
151 15 61 183 1134 67 925 47 1427 220 1349 135 2112 106 2115 153 1383 112 859 74 587 90 645 179 960 237 817 189 1020 61 1852 165 1664
164 15 664 121 228 154 1440 89 992 215 1114 170 1261 161 2253 664 8186 229 1165 110 328 140 1726 81 1632 126 1291 238 2376 217 2383 190 2482
168 15 72 223 973 67 913 203 352 194 1018 90 1262 68 44 164 237 96 1894 72 3372 141 2412 123 401 186 1193 24 1124 122 31 5 1651
183 15 265 154 1252 96 1310 68 2448 73 553 99 2408 93 619 207 2347 265 6445 34 1157 240 815 104 485 182 2201 130 1139 90 542 154 1798
224 15 109 67 760 239 500 178 2498 205 377 62 680 158 904 25 2103 236 240 217 1720 86 1934 40 2393 206 1478 230 2252 86 896 109 6520
230 15 148 152 1399 149 1415 160 1317 169 174 175 1386 88 815 250 74 85 993 139 1502 148 3158 240 513 213 497 80 607 109 2326 210 40
237 15 26 56 14 45 22 73 1000 55 933 26 2881 145 2001 108 2056 125 637 37 187 19 2106 160 2500 70 696 120 2294 169 1214 23 162
