37 27 35 3 1183 218 1266 224 1493 131 465 92 1948 21 202 114 804 157 347 113 446 2 1289 44 1787 229 1580 76 1393 228 1321 107 455 119 1783 35 4609 116 543 134 1083 13 1712 112 2002 134 1628 138 23 136 404 127 1018 166 1017 178 136
84 27 11 145 1265 33 187 214 2417 113 1572 29 602 70 13 45 2128 212 653 172 2296 35 1168 73 245 231 1867 11 3300 25 334 24 1317 247 1628 164 92 45 811 90 207 86 1008 229 1980 78 2445 232 962 4 1200 102 882 182 279 21 826
87 27 87 248 2193 105 1569 204 1107 109 377 175 1525 236 501 87 2873 246 2441 130 364 15 40 43 470 244 509 133 2213 81 1330 193 1434 79 1680 191 1172 87 2049 13 114 171 1189 155 670 137 977 35 1156 146 34 229 1725 98 1608 36 702
122 27 115 49 348 204 1717 202 2124 34 32 69 1161 126 1568 221 528 131 1434 34 1075 68 91 249 1230 178 2328 233 1918 100 1630 20 241 108 259 58 118 115 3636 172 1530 71 1585 180 295 145 1763 143 52 30 774 244 860 211 1999 23 1163
173 27 4 38 1607 60 1762 68 2250 113 1296 234 519 43 609 65 894 199 661 216 629 139 1902 248 952 201 2426 217 2281 199 2272 6 255 4 491 189 1736 231 976 176 1875 37 109 56 1702 1 1531 68 859 173 209 250 1047 188 2440 4 6124
262 27 61 241 1039 147 1862 19 562 51 457 199 1048 61 2958 84 2000 7 731 170 798 205 880 170 2448 114 2309 127 1896 59 1213 248 884 92 1981 161 1258 85 33 36 323 151 1157 66 1201 175 2264 189 1461 34 1649 107 1416 228 594 115 674
294 27 314 131 1815 190 2436 120 341 125 2019 213 2425 188 693 76 730 158 1577 198 1064 91 534 223 2194 205 2403 135 1006 314 5071 136 985 35 1631 137 1333 4 400 181 1874 173 835 249 1972 182 543 93 35 172 1508 70 26 177 349 174 642
320 27 69 215 2495 129 368 52 1802 153 1900 13 2066 109 1869 105 2012 101 1147 56 681 220 731 224 2046 97 2162 70 773 11 2147 228 161 169 8 92 558 156 668 183 1399 53 98 152 1737 165 1597 99 118 69 10965 177 1000 96 1701 206 1331
370 27 27 249 656 183 1483 68 980 62 628 241 2008 32 1641 98 2031 67 1228 191 1218 132 701 84 2264 108 1885 173 2399 54 1240 10 1970 46 473 160 176 96 773 189 1125 114 1976 11 1570 27 3853 189 1448 240 2025 183 2303 213 2228 54 1248
392 27 71 232 2257 50 896 103 1151 142 101 178 2425 169 393 20 1795 115 1837 138 224 96 736 174 1941 5 1185 139 1806 226 2140 191 2404 221 914 110 1682 224 603 24 216 122 2206 141 1780 28 91 71 6372 80 1655 90 412 162 1993 4 10
411 27 42 193 803 192 1329 22 355 234 1824 239 1022 212 642 104 1221 207 855 136 2269 99 624 127 1216 187 516 229 145 213 2129 186 1416 38 477 19 2485 120 2075 42 5493 207 297 171 1742 108 547 54 495 172 2108 157 1617 138 1466 195 2286
419 27 33 197 2203 241 589 156 2186 130 1921 166 46 33 3414 161 2005 245 1549 47 2455 242 246 13 407 164 2470 232 2373 130 254 115 858 11 1138 226 1197 204 2443 1 1255 57 1145 240 606 134 1462 248 339 34 1684 42 250 155 1548 104 1356
438 27 57 98 135 74 623 193 399 57 3401 97 795 25 111 189 2318 120 2088 230 1820 166 2276 137 2148 118 1298 138 1247 108 2251 22 1313 121 1036 58 835 106 347 158 2350 168 164 135 791 199 1133 244 926 3 631 128 2312 95 1380 67 1155
517 27 52 67 726 135 931 69 1075 223 431 49 918 145 2241 79 804 129 1201 160 868 104 1154 165 1297 148 678 211 932 80 90 48 2309 197 1826 124 227 33 1189 24 1099 110 1095 129 1597 18 2244 177 2461 233 1224 52 6482 77 144 101 2256
518 27 42 88 1777 243 906 181 290 199 1657 220 2128 190 393 168 310 38 1464 229 575 31 2086 149 1959 209 893 244 837 157 1864 209 1746 158 1924 134 818 56 243 121 2084 190 787 214 332 249 1235 108 1570 42 2826 143 997 44 1900 55 1477
577 27 38 85 858 19 416 63 1887 55 1777 245 1831 210 2395 89 1157 237 1884 60 126 222 1001 112 2129 150 1535 38 3158 61 1503 16 1330 93 335 64 2132 206 110 67 835 151 1532 230 2428 44 1326 129 360 109 1825 166 2309 113 2208 210 2496
608 27 63 145 2142 63 3871 160 937 167 1254 33 2028 246 519 184 191 184 1547 38 182 157 988 137 1362 138 233 38 1127 128 2490 73 675 143 803 250 679 134 1727 173 2499 249 1356 74 665 202 689 237 1012 201 600 63 1683 155 1274 153 2071
612 27 142 139 755 122 1781 142 4039 127 1867 12 599 88 1984 241 1086 84 2029 170 1649 148 1532 27 768 169 1249 23 1582 245 2093 91 1780 169 1878 37 768 116 2421 171 1457 197 1522 143 1081 246 1322 171 784 222 4 104 2057 137 4 174 1156
635 27 25 106 2441 49 2024 126 954 182 895 142 1256 155 445 59 1394 12 1475 21 723 25 3072 156 1402 99 1429 38 1491 229 380 116 942 132 1757 174 857 7 85 234 1643 232 1133 97 194 9 10 211 1552 178 2042 116 107 193 2257 114 1682
674 27 78 122 58 228 1757 249 456 95 2226 236 1385 126 795 78 5768 24 1861 75 491 152 1119 129 29 125 454 197 2059 240 1247 129 924 14 1426 167 2295 147 2008 23 1701 3 304 146 268 213 1711 74 588 142 1284 46 150 182 1286 149 1534
700 27 126 105 575 58 1326 126 6079 217 1066 241 862 44 2123 174 1201 235 763 49 118 175 437 198 636 34 833 24 2490 195 1593 68 2193 89 1357 9 948 187 1777 167 991 110 20 177 1887 34 1205 76 545 191 1637 52 1954 158 1627 211 398
706 27 211 206 1024 198 1902 249 1538 163 419 96 252 211 5861 222 367 243 877 99 1277 24 71 40 1419 41 1995 246 1094 80 1336 170 2299 67 54 135 2005 81 2250 115 1629 187 1241 62 626 85 909 121 1356 85 1457 73 216 93 1268 235 1467
733 27 80 237 2341 202 2200 29 2275 9 78 243 14 211 861 161 534 168 581 243 2093 71 1684 61 2313 65 1944 99 494 227 997 244 787 76 923 14 1611 157 492 80 6275 25 248 148 734 13 1487 181 1586 160 1375 180 2030 49 2010 100 2057
786 27 63 161 1466 129 1370 67 1107 99 702 36 854 59 2002 94 831 96 144 206 342 1 61 4 995 36 166 29 829 123 1170 238 2004 46 1628 7 899 63 3843 242 1475 2 828 228 1451 21 485 173 1591 76 518 100 809 163 2405 120 2294
796 27 15 19 915 147 208 20 754 179 1697 245 223 106 429 33 1597 182 2483 15 3652 48 1864 2 741 219 281 218 750 35 155 218 400 10 2435 187 1188 79 2288 118 2135 67 286 34 688 78 602 155 1947 52 2379 103 481 66 2254 148 1709
833 27 80 201 1937 215 472 67 171 55 74 238 1626 25 1622 250 406 80 5190 137 911 22 1622 226 354 211 1938 33 136 78 2173 178 2116 98 477 53 897 92 508 108 374 174 2236 51 852 148 142 14 1669 183 1122 207 423 214 630 83 1072
980 27 40 192 251 232 792 30 720 71 717 39 1975 92 1484 193 1696 41 1999 137 2089 148 1524 40 3262 75 1196 176 2145 86 2175 55 1974 163 1628 207 763 11 395 123 751 206 368 130 187 231 1480 26 1102 136 2172 29 2365 156 1244 128 707
1005 27 76 242 1765 235 2075 213 2356 247 593 191 1262 147 2486 31 348 98 1479 161 576 80 977 231 1019 156 116 228 1951 156 629 146 1746 69 1498 198 527 204 459 249 2317 133 1455 108 230 132 1963 76 5636 26 421 163 347 30 2225 249 928
1121 27 686 129 1374 187 1130 215 1137 164 938 232 971 206 2287 119 1683 236 516 75 662 90 940 185 1281 248 2014 196 2261 235 1545 155 2378 142 873 686 9206 242 1795 165 1318 118 591 171 2295 237 1403 237 937 123 1094 79 272 84 1348 172 1864
1170 27 79 227 858 52 1748 144 750 156 1215 21 739 241 639 52 816 64 1865 54 690 136 2239 83 2088 85 1143 111 570 39 399 36 2005 244 720 135 2088 3 376 250 723 2 1736 181 1846 191 1954 173 1181 114 1366 79 4399 168 1164 155 1120
1199 27 44 174 2473 215 2293 12 1753 76 498 91 2301 51 318 51 1153 44 4557 173 778 57 1160 184 1893 170 941 25 577 16 355 140 362 156 1030 201 2481 112 976 48 43 191 728 43 2109 88 1886 151 2391 201 752 19 1968 142 1408 246 547
1224 27 241 47 1474 125 2159 245 1854 238 206 100 1428 243 759 4 1176 125 2454 227 1209 41 1017 148 828 47 1568 118 2227 223 945 27 866 226 1699 241 7558 38 470 102 714 67 2242 187 802 224 1971 51 321 239 596 141 1739 127 1944 108 428
1240 27 199 179 1179 135 1778 25 1441 215 1141 100 382 60 2192 115 2113 86 281 204 1306 72 1627 24 703 178 221 183 1084 83 551 220 1402 151 669 214 358 46 977 102 2425 217 2411 35 1240 199 7050 162 905 161 1438 35 52 37 2165 239 671
1258 27 127 82 1842 99 494 12 459 77 176 213 1293 42 2413 70 2004 91 2105 203 711 202 1367 191 1517 166 272 186 370 34 1843 226 2100 82 1908 229 1964 73 1816 127 6884 112 2279 219 375 222 1145 19 2041 235 1304 103 1557 135 1367 181 2256
1262 27 105 14 2348 123 1362 214 1488 153 1642 141 1081 145 1970 98 865 186 2303 117 2261 11 1342 211 1283 16 1019 130 545 25 789 182 1645 105 6132 94 1306 22 1285 242 1569 195 858 215 1047 113 741 76 23 161 1976 201 1973 216 2111 122 142
1318 27 25 41 449 156 895 51 1008 116 358 25 3890 112 2159 203 1120 146 982 223 351 63 94 219 1459 189 1863 221 1 103 1826 150 505 70 177 10 303 30 1139 156 1561 53 209 71 1725 16 2490 138 126 140 1026 152 114 243 2153 92 1611
1333 27 143 244 2246 109 1864 21 453 151 1908 149 1530 63 1148 69 1146 143 3084 124 1720 234 1468 177 720 25 391 155 1991 188 1612 249 886 70 135 222 1871 26 428 240 1502 123 1313 129 851 209 428 65 518 34 1416 96 1322 84 83 187 840
1336 27 103 47 362 27 1556 82 1954 103 5935 104 2384 73 1146 125 1542 47 1430 54 591 165 2126 184 259 37 2253 170 1070 115 548 238 1436 164 2017 236 1835 162 1128 219 239 193 1869 108 2151 97 1596 25 1576 169 2443 156 325 105 1251 219 383
1391 27 87 73 1581 220 363 82 1944 87 6720 236 498 152 424 64 309 100 1374 179 292 29 2240 219 733 140 123 134 1132 191 238 59 1545 53 1074 29 649 244 683 120 1183 77 2274 245 1127 155 928 117 918 210 374 225 987 138 1671 115 852
1399 27 55 39 376 224 362 63 1730 214 975 163 932 217 113 155 800 225 549 49 1457 142 1807 219 1825 132 1506 79 533 174 274 145 1451 75 1654 224 2381 89 415 246 1154 125 48 5 2214 55 24354 123 300 143 2200 83 1399 84 753 92 156
1408 27 114 241 1559 40 433 245 2480 122 1868 174 341 208 890 109 2006 120 139 125 17 180 584 114 3749 176 1470 187 2247 247 448 215 1264 226 1725 142 1244 248 887 202 43 232 1502 167 2493 21 1170 181 1902 54 1776 229 726 185 491 142 1658
1571 27 30 201 521 68 419 228 708 181 1629 166 2429 197 703 134 1460 91 1988 65 2448 1 1618 25 361 240 1590 211 344 88 837 78 1405 105 2126 65 1335 146 274 169 748 53 586 84 1986 2 2069 30 31035 65 1306 140 1311 79 1325 200 2286
1627 27 102 63 690 92 1082 194 2058 216 1422 191 1507 243 1074 185 2475 212 1963 143 727 19 2141 81 1046 249 147 199 1990 102 4853 71 721 40 1402 93 2372 169 1712 24 883 62 1880 42 1410 173 2322 48 2284 144 886 144 1182 74 1332 100 1792
1798 27 19 117 1811 197 2260 238 273 96 2243 153 1476 5 827 95 1288 6 70 132 2051 104 2040 116 1130 162 916 4 830 79 1340 31 746 50 1492 242 450 92 997 126 2287 89 1711 180 964 15 1260 176 87 81 2500 184 719 36 1814 19 3142
1944 27 161 64 1667 196 2124 209 1145 135 1787 208 89 79 1166 161 4158 85 22 152 7 131 1605 136 1416 58 1074 98 1150 164 346 110 1961 211 1572 49 703 193 2057 213 1092 204 1780 216 1568 122 2405 192 1887 103 2089 146 948 58 1498 87 890
1989 27 52 241 1994 205 103 104 146 206 1222 120 167 185 2221 52 5712 140 1250 157 2334 149 1173 84 1374 126 2116 83 1417 227 1601 146 2198 13 2081 32 284 154 253 164 741 155 1781 152 996 179 2284 7 769 8 2228 64 213 230 2368 225 502
1999 27 20 162 2413 115 1840 209 1980 110 960 122 1832 86 274 58 14 225 327 38 37 166 1297 183 2429 7 2147 237 2130 65 1338 164 1039 188 1253 142 1525 39 2028 20 6134 158 1056 227 363 49 254 41 1098 37 799 179 1603 185 250 171 787
